,비산,상태,예열,용탕,용해,용해로,주조,처리,폭발,호기
0,0,0,0,1,0,0,0,0,1,0
1,0,0,1,3,0,0,0,0,1,0
2,0,0,1,2,0,2,0,0,1,0
3,1,1,2,3,0,0,1,1,2,0
4,1,0,0,3,0,0,2,1,1,0
5,0,1,0,3,1,0,0,0,1,4
6,0,1,0,1,0,0,0,0,1,1
7,0,0,0,1,0,0,0,0,1,0
8,0,0,0,1,1,1,0,0,1,0
9,1,0,0,1,1,0,0,0,1,0
10,0,0,0,1,1,1,0,0,1,0
11,0,0,0,1,2,1,1,1,0,1
12,0,0,0,1,1,1,0,0,1,0
13,0,1,0,4,0,0,0,0,1,0
14,0,0,0,1,0,0,0,0,1,1
15,0,0,0,1,0,0,0,0,1,0
16,0,0,0,2,0,0,1,0,1,0
