,락_,산소,상기,스프레이,용접,카_,코팅,페인트,폭발
0,1,1,1,1,0,1,0,2,0
1,0,0,1,4,0,0,0,0,1
2,0,0,0,1,0,0,0,2,0
3,0,1,0,1,0,0,0,1,1
4,0,0,0,4,1,0,1,0,0
5,0,0,0,1,0,0,0,0,1
6,0,0,0,1,0,1,0,0,1
7,0,0,0,3,0,0,0,0,0
8,1,0,0,2,2,1,0,0,1
9,0,0,0,3,0,0,0,0,1
10,0,0,1,1,1,0,0,0,1
11,1,0,0,2,0,1,0,0,1
12,0,2,0,1,0,0,0,0,0
13,0,0,0,2,0,0,0,0,1
14,0,0,0,3,0,0,2,0,1
15,0,0,0,2,0,0,3,0,0
16,0,0,0,1,0,0,0,0,1
17,0,0,0,1,0,0,0,0,1
