,가스,건조,교체,도장,부위,분체,소재,수리,용접,준비,차량,폭발
가스,125,6,4,6,10,5,7,8,6,3,11,60
건조,6,3,0,0,0,0,1,0,0,0,0,3
교체,4,0,3,0,0,0,0,0,1,1,0,2
도장,6,0,0,4,0,2,0,0,0,0,1,4
부위,10,0,0,0,6,0,1,0,0,0,0,3
분체,5,0,0,2,0,3,0,0,0,0,1,3
소재,7,1,0,0,1,0,3,0,0,0,0,3
수리,8,0,0,0,0,0,0,8,1,0,0,7
용접,6,0,1,0,0,0,0,1,7,1,0,8
준비,3,0,1,0,0,0,0,0,1,3,0,3
차량,11,0,0,1,0,1,0,0,0,0,7,6
폭발,60,3,2,4,3,3,3,7,8,3,6,52
