,가스,공정,배터리,소속,소재,스파크,실험실,원재료,유증,자동차,제조,탱크,폭발
가스,5,1,5,2,1,1,0,2,1,1,6,2,5
공정,1,3,0,1,0,1,0,1,1,0,4,1,3
배터리,5,0,88,5,11,6,0,4,0,7,1,0,27
소속,2,1,5,3,1,1,0,1,0,0,2,0,3
소재,1,0,11,1,4,1,1,1,0,0,3,1,3
스파크,1,1,6,1,1,3,0,2,1,1,1,1,3
실험실,0,0,0,0,1,0,3,0,0,0,3,0,1
원재료,2,1,4,1,1,2,0,3,2,0,3,3,3
유증,1,1,0,0,0,1,0,2,4,0,6,3,4
자동차,1,0,7,0,0,1,0,0,0,3,1,0,3
제조,6,4,1,2,3,1,3,3,6,1,31,7,14
탱크,2,1,0,0,1,1,0,3,3,0,7,6,3
폭발,5,3,27,3,3,3,1,3,4,3,14,3,19
