,가스,경남,고철,교정,근무,기계,누출,드럼,바지,발화,번지,부산시,부위,불길,불꽃,불똥,산소,선수,설치,소재,연결,연결부,옷_,왼손,용접,용접기,우측,인화,작업복,장갑,절단,절단기,제거,제품,철판,탱크,테크,토치,파이프,해체,허벅지,현장,호수,호스,확산
제품,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,7,0,1,0,0,1,1,0,0,0,1,1,1,1,1,3,1,4,2,0,0,1,0,0,0,0,0,5,2
철판,0,3,0,0,0,1,1,0,2,0,5,0,0,2,2,0,14,0,0,1,0,1,2,0,6,0,0,0,1,0,8,6,0,2,14,0,0,0,0,1,3,1,3,12,1
탱크,2,1,0,1,0,1,0,1,0,0,0,0,0,2,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,1,0,1,0
테크,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,10,0,2,1,1,0,2,2,1,0,0,0,1,0,2,7,1,0,0,0,6,5,0,0,0,2,0,8,0
토치,1,0,0,4,0,2,1,0,0,0,0,0,1,0,0,1,16,0,2,0,1,3,4,2,1,0,1,0,2,1,2,8,0,1,0,0,5,12,0,0,1,2,0,12,2
파이프,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,1,0,1,0,0,0,0,3,0,2,0,7,3,0,0,0,0,0,0,5,1,1,0,0,4,0
해체,2,1,0,0,0,1,2,0,0,0,1,1,1,0,1,0,9,1,0,2,0,0,1,0,0,0,0,0,0,0,7,5,0,0,1,0,0,0,1,6,0,0,0,2,0
허벅지,2,1,0,0,0,1,1,0,1,0,1,0,1,1,2,0,4,0,0,1,0,0,1,0,2,0,0,0,3,0,6,2,0,0,3,0,0,1,1,0,6,1,0,8,0
현장,2,0,1,0,0,4,0,0,5,2,0,0,0,1,2,2,16,0,1,0,2,0,0,1,0,2,0,0,2,0,8,7,1,0,1,1,2,2,0,0,1,10,0,12,0
호수,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,17,0,0,0,1,0,3,0,2,0,0,0,1,0,4,3,0,0,3,0,0,0,0,0,0,0,18,0,0
호스,10,4,2,2,3,10,1,3,3,3,7,1,7,4,6,5,89,1,4,5,6,6,5,4,8,2,5,0,6,4,38,32,3,5,12,1,8,12,4,2,8,12,0,100,8
확산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,3,0,0,1,0,2,0,0,2,2,1,0,2,1,0,0,2,0,0,0,0,0,8,6
